code_commune,annee,trimestre,prix_m2_median,surface_median,nb_transactions,type_bien_mode,inflation,lon_commune,lat_commune,dist_gare_km,gares_1km,gares_2km
75111,2021.0,3.0,10773.684210526315,37.0,339,appartement,2.1999999999999997,,,,,
75111,2021.0,4.0,10581.002892960463,38.0,262,appartement,3.3333333333333335,,,,,
75111,2022.0,1.0,10759.848484848484,38.0,259,appartement,4.2,,,,,
75111,2022.0,2.0,10840.0,38.0,289,appartement,5.8999999999999995,,,,,
75111,2022.0,3.0,10846.67487684729,38.0,364,appartement,6.533333333333334,,,,,
75111,2022.0,4.0,10888.90899122807,40.0,282,appartement,6.966666666666666,,,,,
75111,2023.0,1.0,10369.318181818182,38.0,209,appartement,7.0,,,,,
75111,2023.0,2.0,10321.794871794871,38.0,267,appartement,6.066666666666666,,,,,
75111,2023.0,3.0,10026.521739130434,40.0,251,appartement,5.5,,,,,
75111,2023.0,4.0,10155.757575757576,40.0,264,appartement,4.166666666666667,,,,,
75111,2024.0,1.0,9570.0,40.0,218,appartement,3.0,,,,,
75111,2024.0,2.0,9450.0,41.0,273,appartement,2.5,,,,,
75111,2024.0,3.0,9504.098360655738,36.0,216,appartement,2.1,,,,,
75111,2024.0,4.0,9787.908496732027,38.0,228,appartement,1.7,,,,,
75111,2025.0,1.0,9444.444444444445,37.0,43,appartement,1.2,,,,,
75111,2025.0,2.0,9615.625,36.0,84,appartement,0.7999999999999999,,,,,
75111,2025.0,3.0,9600.0,42.0,65,appartement,0.8500000000000001,,,,,
75111,2025.0,4.0,10000.0,36.0,83,appartement,,,,,,
75112,2020.0,1.0,10130.748112560053,42.5,94,appartement,1.3666666666666665,,,,,
75112,2020.0,2.0,10134.52380952381,45.0,68,appartement,0.3333333333333333,,,,,
75112,2020.0,3.0,10049.102564102563,43.5,92,appartement,0.3666666666666667,,,,,
75112,2020.0,4.0,10059.701492537313,45.0,75,appartement,0.10000000000000002,,,,,
75112,2021.0,1.0,9951.612903225807,40.0,209,appartement,1.0,,,,,
75112,2021.0,2.0,10148.979591836734,43.0,145,appartement,1.7666666666666666,,,,,
75112,2021.0,3.0,10416.666666666666,43.0,205,appartement,2.1999999999999997,,,,,
75112,2021.0,4.0,10282.2695035461,42.0,194,appartement,3.3333333333333335,,,,,
75112,2022.0,1.0,10061.507936507936,46.5,196,appartement,4.2,,,,,
75112,2022.0,2.0,10003.90625,48.0,174,appartement,5.8999999999999995,,,,,
75112,2022.0,3.0,10000.0,48.0,263,appartement,6.533333333333334,,,,,
75112,2022.0,4.0,10124.264705882353,39.0,207,appartement,6.966666666666666,,,,,
75112,2023.0,1.0,9642.857142857143,41.0,147,appartement,7.0,,,,,
75112,2023.0,2.0,9358.97435897436,39.0,175,appartement,6.066666666666666,,,,,
